"balkan";"russian";"Points"
"Kotač";"Колесо";"1"
"Spremi";"Сохранить";"1"
"Ako";"если";"1"
"Vozilo";"автомобиль";"1"
"Магла";"туман";"1"
"Чешће";"Чаще всего";"1"
"Pešac";"Пешеход";"2"
"Раскршће";"перекрёсток";"2"
"Мораm";"я должен";"2"
"престићи";"обгонять";"2"
"Чекај";"ждать";"2"
"Još uvek";"Всё ещё";"2"
"Искуство";"опыт";"2"
"Skrenuti";"повернуть";"2"
"Заустављање";"остановка";"2"
"Učiniti";"Делать";"2"
"Križ";"крест";"2"
"Polubranik";"шлагбаум";"2"
"Korištenje";"использование";"2"
"Изнад";"выше";"2"
"висине";"высота";"2"
"Teret";"груз";"2"
"Настави";"продолжать";"0"
"Несрећа";"авария";"1"
"Sudionik";"Участник";"1"
"возачка дозвола";"водительских пвав";"2"
"број";"число";"2"
"каснити";"опоздать";"2"
"лоше";"плохо";"2"
