"balkan";"russian";"Points"
"Kotač";"Колесо";"1"
"Spremi";"Сохранить";"1"
"Ako";"если";"1"
"Vozilo";"автомобиль";"1"
"Магла";"туман";"1"
"Чешће";"Чаще всего";"1"
"Pešac";"Пешеход";"2"
"Раскршће";"перекрёсток";"2"
"Мораm";"я должен";"2"
"престићи";"обгонять";"2"
"Чекај";"ждать";"2"
"Još uvek";"Всё ещё";"2"
"Искуство";"опыт";"2"
"Skrenuti";"повернуть";"2"
"Заустављање";"остановка";"2"
"Učiniti";"Делать";"2"
"Križ";"крест";"2"
"Polubranik";"шлагбаум";"2"
"Korištenje";"использование";"2"
"Изнад";"выше";"2"
"висине";"высота";"2"
"Teret";"груз";"2"
"Настави";"продолжать";"1"
"Несрећа";"авария";"1"
"Sudionik";"Участник";"1"
"возачка дозвола";"водительских пвав";"2"
"број";"число";"2"
"каснити";"опоздать";"2"
"лоше";"плохо";"2"
"Затворено";"Закрыт";"1"
"десно";"право";"1"
"Prikolica";"прицеп";"1"
"Дружина";"длина";"1"
"Воз";"поезд";"1"
"Троугао";"триагольник";"1"
"Јакна";"куртка";"0"
"Nakon";"после";"0"
"Трајање";"продолжительность";"0"
"пуњач";"зарядка";"0"
"Извршити";"Выполнить";"0"
"sustav";"система";"0"
"Stražnji";"задний";"0"
"Урок";"причина";"0"
"Неисправен";"дефект";"0"
"Žarulya";"лампа";"0"
"кочење";"Торможение";"1"
"Такође";"также";"1"
"досадно";"скучно";"1"
"Хајдемо";"давай";"0"
"Онда";"тогда";"1"
"Озбиљно";"серьёзно";"1"
"Скини се";"Сними одежду";"1"
"Полако";"медленно";"1"
"Прича";"рассказ";"1"
"Спреман";"готов";"1"
"Gužva";"толпа";"1"
"Споро";"Замедлять";"1"
"Stvaran";"настоящий";"1"
"Слика";"картинка";"1"
"Раме";"Плечо";"1"
"Иза мене";"сзади меня";"1"
"Возач";"водитель";"1"
"Касно";"поздно";"1"
"Улаз";"вход";"1"
"Осећања";"чувства";"1"
"Završen";"закончинь";"1"
"прекинути";"прервано";"1"
"Затворено";"закрыто";"1"
"Omesti";"Отвлекать";"1"
"Покрет";"движение";"1"
"Забрањено";"запрещено";"1"
"Čepa";"пробка";"1"
"Napuštanje";"уход";"1"
"Јер";"потому что";"1"
"ja ću";"я буду";"1"
"Ćitav";"весь";"1"
"Гориво";"топливо";"1"
"Uštedjeti";"сэкономить";"0"
"Okoliš";"Окружение";"0"
"Загађење";"Загрязнение";"0"
"Sječnja";"январь";"0"
"Veljače";"Февраль";"0"
"Član";"Член";"0"
"Brisanje";"удаление";"0"
"Uraditi";"делать";"0"
"Napraviti";"создание";"0"
"Ubrzava";"Ускорение";"0"
"uočljivo";"заметно";"0"
"Promet";"дорoжная движeния";"0"
"Опрез";"осторожность";"0"
"проценити";"оценивать";"0"
"autocesta";"автобан";"0"
"Mreža";"ловчая сеть";"0"
"Smjer";"направление";"0"
"Suprotan";"Напротив";"0"
"Промене";"изменения";"0"
"Ploča";"тарелка";"1"
